연번,비상소화장치일련번호,안전센터ID,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,geometry,lon,lat
2082,110080389,1117102,1257,186344.0411,548616.4438,강서-화곡-09(비),52201,N,20240904171437,POINT (126.84548915561574 37.53695106125106),126.84548915561574,37.53695106125106
2083,110080399,1117102,1265,187000.3419,547757.414,강서-화곡-38(비),52201,N,20240910170747,POINT (126.85293007111265 37.52922070144049),126.85293007111265,37.52922070144049
2084,110082326,1116102,1271,194338.4042,543191.7416,관악-봉천-000049,52201,N,20240910170747,POINT (126.93598333924639 37.48815800339825),126.93598333924639,37.48815800339825
2085,110081849,1110106,1279,203589.1548,565729.7199,도봉-도봉-25(비),52205,N,20240909171454,POINT (127.04069362131953 37.69123379751923),127.04069362131953,37.69123379751923
2086,110081852,1125505,1283,203017.856,558604.2751,강북-현장-111(비,52201,N,20241011171100,POINT (127.03418682025617 37.62703690726143),127.03418682025617,37.62703690726143
2087,110082089,1111102,1329,206911.2368,563588.6239,노원-상계-2-8(비,52201,N,20240912172010,POINT (127.0783388737846 37.671923991867736),127.0783388737846,37.671923991867736
2088,110082101,1116509,1342,197723.5505,541345.9897,관악-현장-000147,52201,N,20240909171454,POINT (126.97426548230426 37.47154215011357),126.97426548230426,37.47154215011357
2089,110083274,1103105,6415,200483.1041,553894.6794,종로-연건-4-23(?,52201,N,20241002172303,POINT (127.00546958343058 37.584608749716494),127.00546958343058,37.584608749716494
2090,110085271,1107104,6416,203556.8717,553317.9658,동대문-용두-084(,52201,N,20240919171236,POINT (127.04026720593679 37.57940585609199),127.04026720593679,37.57940585609199
2091,110085269,1110106,6722,202658.1283,564416.4452,도봉-도봉-139(비,52201,N,20241012170657,POINT (127.03013291323504 37.67940465626144),127.03013291323504,37.67940465626144
2092,110085261,1119107,6724,189388.4885,545656.4106,구로-신도-000104,52201,N,20241002172303,POINT (126.87997831920579 37.51032119208881),126.87997831920579,37.51032119208881
2093,110085272,1107104,6725,203534.113,553310.1912,동대문-용두-085(,52201,N,20240919171236,POINT (127.04000951815574 37.57933589503737),127.04000951815574,37.57933589503737
2094,110083320,1123102,6726,192534.4106,553374.2693,서대문-북가-49(?,52203,N,20241013171004,POINT (126.91548181240991 37.57988975853188),126.91548181240991,37.57988975853188
2095,110085276,1114105,6727,206866.4101,542698.3035,강남-수서-000085,52201,N,20240926171119,POINT (127.07763509700789 37.483703922372456),127.07763509700789,37.483703922372456
2096,110081013,1127303,5454,201883.5826,549762.4179,성동-금호-000117,52201,N,20240926171119,POINT (127.02131483799266 37.547375440526885),127.02131483799266,37.547375440526885
2097,110080485,1103106,7041,196737.1207,555950.564,종로-신영-5-20(?,52201,N,20240907171138,POINT (126.96304934486061 37.60312644305157),126.96304934486061,37.60312644305157
