,자치구,접수시각,소방서_거리,사망자수,부상자수,발화원인_대분류,접수시각_년원일,접수시각_년월일
299,강서구,20230217233330,7,0,0,,20230217233330,20230217
300,영등포구,20230221233037,4,0,0,,20230221233037,20230221
301,성동구,20230222131916,1,0,0,,20230222131916,20230222
302,서초구,20230104125231,8,0,0,,20230104125231,20230104
303,노원구,20230220093524,2,0,0,,20230220093524,20230220
304,중랑구,20230210214625,3,0,0,"차량, 선박부품",20230210214625,20230210
305,서초구,20230104182643,3,0,0,,20230104182643,20230104
306,성북구,20230129140303,2,0,0,,20230129140303,20230129
307,영등포구,20230218041230,2,0,0,,20230218041230,20230218
308,중구,20230210204638,3,0,0,,20230210204638,20230210
309,종로구,20230210185042,1,0,1,,20230210185042,20230210
310,금천구,20230223194125,1,0,0,,20230223194125,20230223
311,구로구,20230224142212,3,0,0,주방기기,20230224142212,20230224
312,서대문구,20230218205359,5,0,0,,20230218205359,20230218
313,송파구,20230221215035,3,0,0,"조명, 간판",20230221215035,20230221
314,영등포구,20230104140003,1,0,0,배선/배선기구,20230104140003,20230104
315,관악구,20230130221639,2,0,0,,20230130221639,20230130
316,용산구,20230218091956,0,0,0,,20230218091956,20230218
317,동작구,20230218160330,3,0,0,,20230218160330,20230218
318,중랑구,20230128163442,4,0,0,,20230128163442,20230128
319,구로구,20230104110725,5,0,0,,20230104110725,20230104
320,은평구,20230130101132,3,0,0,계절용 기기,20230130101132,20230130
321,강서구,20230218142231,3,0,0,,20230218142231,20230218
322,중구,20230217214327,1,0,0,주방기기,20230217214327,20230217
323,용산구,20230222113834,1,0,0,,20230222113834,20230222
324,송파구,20230224020034,3,0,0,,20230224020034,20230224
325,용산구,20230208173242,2,0,0,,20230208173242,20230208
326,성북구,20230224043520,2,0,0,,20230224043520,20230224
327,강북구,20230129143251,3,0,0,기타,20230129143251,20230129
328,강북구,20230218125802,3,0,0,계절용 기기,20230218125802,20230218
329,서초구,20230128072931,2,0,0,,20230128072931,20230128
330,도봉구,20230130080852,2,0,0,,20230130080852,20230130
331,동대문구,20230110125522,3,0,0,"조명, 간판",20230110125522,20230110
332,강서구,20230218193016,3,0,0,주방기기,20230218193016,20230218
333,도봉구,20230217233440,1,0,0,,20230217233440,20230217
334,중구,20230215224511,0,0,0,미상,20230215224511,20230215
335,구로구,20230119062201,2,0,0,,20230119062201,20230119
336,양천구,20230130091122,3,0,0,,20230130091122,20230130
337,영등포구,20230219063010,1,0,0,,20230219063010,20230219
338,영등포구,20230218083449,3,0,1,산업장비,20230218083449,20230218
339,강서구,20230119143522,3,0,0,,20230119143522,20230119
340,마포구,20230119152023,4,0,0,,20230119152023,20230119
341,서초구,20230119003028,4,0,0,,20230119003028,20230119
342,도봉구,20230119180603,2,0,0,,20230119180603,20230119
343,구로구,20230119011007,2,0,0,,20230119011007,20230119
344,종로구,20230119154222,1,0,0,,20230119154222,20230119
345,광진구,20230119170055,1,0,0,,20230119170055,20230119
346,성북구,20230105083934,3,0,0,기타,20230105083934,20230105
347,동대문구,20230105092300,4,0,0,,20230105092300,20230105
348,노원구,20230105125806,1,0,0,,20230105125806,20230105
349,용산구,20230119011826,3,0,0,,20230119011826,20230119
350,강북구,20230105090343,1,0,0,,20230105090343,20230105
351,동대문구,20230105113131,1,0,0,,20230105113131,20230105
352,강서구,20230105170235,6,0,0,계절용 기기,20230105170235,20230105
353,은평구,20230105053420,3,0,0,계절용 기기,20230105053420,20230105
354,영등포구,20230119011147,1,0,0,,20230119011147,20230119
355,은평구,20230102055338,5,0,0,,20230102055338,20230102
356,서초구,20230118164432,8,0,0,,20230118164432,20230118
357,동대문구,20230113002502,3,0,5,,20230113002502,20230113
358,도봉구,20230105134708,1,0,0,,20230105134708,20230105
359,관악구,20230119193323,3,0,0,,20230119193323,20230119
360,강서구,20230119191311,3,0,0,,20230119191311,20230119
361,중구,20230105032902,3,0,0,미상,20230105032902,20230105
362,서대문구,20230105151428,1,0,0,"조명, 간판",20230105151428,20230105
363,강서구,20230105184209,4,0,0,전기설비,20230105184209,20230105
364,동작구,20230104225732,4,0,0,주방기기,20230104225732,20230104
365,강서구,20230104212646,0,0,0,주방기기,20230104212646,20230104
366,서대문구,20230126003919,4,0,0,,20230126003919,20230126
367,종로구,20230126145224,1,0,0,,20230126145224,20230126
368,노원구,20230104222411,1,0,1,,20230104222411,20230104
369,송파구,20230126163433,3,0,0,,20230126163433,20230126
370,중구,20230105015934,1,0,0,,20230105015934,20230105
371,금천구,20230104080627,2,0,0,,20230104080627,20230104
372,동대문구,20230123221935,0,0,0,계절용 기기,20230123221935,20230123
373,중랑구,20230117174409,0,0,0,생활기기,20230117174409,20230117
374,영등포구,20230105131307,3,0,0,,20230105131307,20230105
375,은평구,20230105042026,3,0,0,주방기기,20230105042026,20230105
376,영등포구,20230126100430,3,0,0,계절용 기기,20230126100430,20230126
377,금천구,20230116142425,2,0,0,,20230116142425,20230116
378,도봉구,20230117062132,2,0,0,,20230117062132,20230117
379,영등포구,20230126072237,1,0,0,,20230126072237,20230126
380,동대문구,20230117065434,5,0,0,,20230117065434,20230117
381,강서구,20230125161848,0,0,0,,20230125161848,20230125
382,금천구,20230114121621,2,0,0,,20230114121621,20230114
383,광진구,20230117015814,2,0,0,주방기기,20230117015814,20230117
384,은평구,20230117203521,3,0,0,,20230117203521,20230117
385,은평구,20230102011213,3,0,0,,20230102011213,20230102
386,강남구,20230126110858,2,0,0,,20230126110858,20230126
387,구로구,20230126053107,2,0,0,,20230126053107,20230126
388,노원구,20230114190953,3,0,0,,20230114190953,20230114
