,X좌표,Y좌표,비상소화장치고유번호
298,202010.6181,553981.7583,성북-현장-188(비
299,201469.2172,555206.1934,성북-돈암-189(비
300,200385.7622,557014.4536,성북-길음-193(비
301,200539.1056,556923.9812,성북-길음-194(비
302,200007.3466,557383.4914,성북-길음-195(비
303,199979.7796,557203.7349,성북-길음-2(비)
304,203866.787,556994.2085,성북-장위-140(비
305,203286.1564,555039.2722,성북-현장-143(비
306,201967.2255,555105.2542,성북-돈암-199(비
307,200667.0388,554283.0463,성북-돈암-200(비
308,200043.8348,556356.4993,성북-길음-196(비
309,200165.747,556291.577,성북-길음-205(비
310,200715.1816,555483.3117,성북-길음-198(비
311,200715.1816,555483.3117,성북-길음-201(비
312,199737.9041,556290.369,성북-길음-203(비
313,200438.4585,555583.2034,성북-길음-206(비
314,204233.3339,557035.3209,성북-장위-197(비
315,199276.9559,554892.5815,성북-돈암-209(비
316,193176.7757,553493.0265,서대문-북가-46(?
317,205521.1663,554306.8387,동대문-휘경-008(
318,205827.2127,553948.3922,동대문-휘경-009(
319,205655.4437,555793.4503,동대문-휘경-010(
320,204003.6774,554206.615,동대문-청량-012(
321,193892.6198,551274.1271,서대문-현장-18(?
322,194057.7806,550975.1851,서대문-현장-22(?
323,193845.8192,551193.4225,서대문-현장-23(?
324,191722.6726,554041.5263,은평-수색-58(비)
325,197261.7252,544969.5724,동작-노량-000047
326,197132.2497,545006.2013,동작-노량-000048
327,197455.8811,545034.2608,동작-노량-000051
328,192593.8423,543079.0371,관악-신림-000019
329,193186.8288,542426.5967,관악-신림-000020
330,193852.8015,543524.5993,관악-봉천-000021
331,195744.3726,542741.161,관악-봉천-000022
332,196345.6105,542789.6941,관악-봉천-000026
333,194364.9954,540722.312,관악-현장-000056
334,193947.6475,541224.1177,관악-현장-000031
335,192109.4064,543252.9278,동작-현장-000077
336,197756.9715,542089.8523,동작-백운-000082
337,204616.9363,557421.9502,성북-장위-107(비
338,205247.4033,556421.9292,성북-장위-109(비
339,204954.5532,556590.2232,성북-장위-110(비
340,202470.6999,556156.3488,성북-현장-112(비
341,204410.6691,556799.8086,성북-장위-113(비
